product_id,created_at,offer_id,name,category,subcategory,brand,sku_count,requires_certification,restricted_category,dangerous_goods,brand_risk_high,fragile,battery,return_risk_high,compatibility_complex
P0039,2026-05-01T14:35:44.238545,O0039,Sample product 39,home,general,generic,1,False,False,False,False,False,False,False,False
P0040,2026-03-17T14:35:44.238545,O0040,Sample product 40,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0041,2026-05-07T14:35:44.238545,O0041,Sample product 41,home,general,generic,1,False,False,False,False,False,False,False,False
P0042,2026-05-07T14:35:44.238545,O0042,Sample product 42,pets,general,generic,1,False,False,False,False,False,False,False,False
P0043,2026-05-22T14:35:44.238545,O0043,Sample product 43,diy,general,generic,1,False,False,False,False,False,False,False,False
P0044,2026-05-20T14:35:44.238545,O0044,Sample product 44,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0045,2026-06-06T14:35:44.238545,O0045,Sample product 45,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0046,2026-06-20T14:35:44.238545,O0046,Sample product 46,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0047,2026-06-22T14:35:44.238545,O0047,Sample product 47,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0048,2026-03-23T14:35:44.238545,O0048,Sample product 48,pets,general,generic,1,False,False,False,False,False,False,False,False
P0049,2026-03-22T14:35:44.238545,O0049,Sample product 49,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0050,2026-04-24T14:35:44.238545,O0050,Sample product 50,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0051,2026-04-20T14:35:44.238545,O0051,Sample product 51,diy,general,generic,1,False,False,False,False,False,False,False,False
P0052,2026-05-26T14:35:44.238545,O0052,Sample product 52,diy,general,generic,1,False,False,False,False,False,False,False,False
P0053,2026-03-17T14:35:44.238545,O0053,Sample product 53,diy,general,generic,1,False,False,False,False,False,False,False,False
P0054,2026-04-28T14:35:44.238545,O0054,Sample product 54,pets,general,generic,1,False,False,False,False,False,False,False,False
P0055,2026-04-19T14:35:44.238545,O0055,Sample product 55,diy,general,generic,1,False,False,False,False,False,False,False,False
P0056,2026-06-01T14:35:44.238545,O0056,Sample product 56,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0057,2026-04-16T14:35:44.238545,O0057,Sample product 57,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0058,2026-08-10T14:35:44.238545,O0058,Sample product 58,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0059,2026-07-27T14:35:44.238545,O0059,Sample product 59,pets,general,generic,1,False,False,False,False,False,False,False,False
P0060,2026-04-15T14:35:44.238545,O0060,Sample product 60,diy,general,generic,1,False,False,False,False,False,False,False,False
